date,precipitation,precipitation_normal
19400514,0.00,7.29
19400515,0.00,7.32
19400516,0.00,7.35
19400517,0.00,7.38
19400518,0.02,7.41
19400519,0.02,7.44
19400520,0.03,7.46
19400521,0.03,7.49
19400522,0.03,7.52
19400523,0.11,7.54
19400524,0.27,7.57
19400525,0.35,7.59
19400526,0.35,7.62
19400527,0.36,7.64
19400528,0.36,7.66
19400529,0.56,7.69
19400530,0.56,7.71
19400531,0.56,7.73
19400601,0.56,7.75
19400602,0.56,7.77
19400603,0.58,7.79
19400604,0.58,7.81
19400605,0.60,7.82
19400606,0.64,7.84
19400607,0.64,7.86
19400608,0.64,7.88
19400609,0.68,7.89
19400610,0.68,7.90
19400611,0.68,7.92
19400612,0.68,7.94
19400613,0.68,7.95
19400614,0.70,7.97
19400615,0.70,7.99
19400616,0.70,8.00
19400617,0.74,8.02
19400618,0.74,8.04
19400619,0.74,8.05
19400620,0.74,8.07
19400621,0.74,8.08
19400622,0.74,8.10
19400623,0.74,8.11
19400624,1.09,8.13
19400625,1.09,8.15
19400626,1.09,8.16
19400627,1.09,8.18
19400628,1.11,8.20
19400629,1.12,8.21
19400630,1.13,8.23
19400701,1.13,8.25
19400702,1.13,8.26
19400703,1.13,8.28
19400704,1.13,8.29
19400705,1.13,8.31
19400706,1.13,8.33
19400707,1.13,8.35
19400708,1.13,8.36
19400709,1.13,8.38
19400710,1.13,8.40
19400711,1.13,8.41
19400712,1.13,8.43
19400713,1.13,8.44
19400714,1.13,8.46
19400715,1.13,8.47
19400716,1.13,8.49
19400717,1.13,8.51
19400718,1.13,8.52
19400719,1.13,8.54
19400720,1.13,8.55
19400721,1.13,8.57
19400722,1.13,8.59
19400723,1.13,8.61
19400724,1.13,8.63
19400725,1.13,8.64
19400726,1.15,8.66
19400727,1.15,8.68
19400728,1.15,8.70
19400729,1.15,8.71
19400730,1.78,8.73
19400731,1.82,8.75
19400801,1.84,8.77
19400802,1.84,8.79
19400803,1.84,8.81
19400804,1.84,8.83
19400805,1.84,8.85
19400806,1.84,8.87
19400807,1.86,8.89
19400808,1.90,8.90
19400809,1.90,8.92
19400810,1.90,8.94
19400811,1.90,8.96
19400812,1.90,8.99
19400813,1.90,9.01
19400814,1.90,9.04
